"","date","BT_price"
"1","2020-10-13",11666.2117003214
"2","2020-10-14",11443.7327918222
"3","2020-10-15",11395.54736637
"4","2020-10-16",11504.5490067109
"5","2020-10-17",11355.1604394509
"6","2020-10-18",11358.7063796297
"7","2020-10-19",11471.002547787
"8","2020-10-20",11776.5929973295
"9","2020-10-21",11936.3629133377
"10","2020-10-22",13102.9344615485
"11","2020-10-23",13140.669284056
"12","2020-10-24",12933.8235654933
"13","2020-10-25",13081.6725594906
"14","2020-10-26",13008.4532577537
"15","2020-10-27",13033.5242700816
"16","2020-10-28",13721.2822248459
"17","2020-10-29",13282.2603479223
"18","2020-10-30",13467.7317828145
"19","2020-10-31",13573.7105031536
"20","2020-11-01",13891.2168331626
"21","2020-11-02",13730.1973109361
"22","2020-11-03",13633.6982168925
"23","2020-11-04",13832.9384097683
"24","2020-11-05",14163.9768155039
"25","2020-11-06",15424.527676687
"26","2020-11-07",15540.5965908122
"27","2020-11-08",14783.9816785334
"28","2020-11-09",15500.3342547421
"29","2020-11-10",15283.7801387338
"30","2020-11-11",15374.0443857602
"31","2020-11-12",15820.4952410758
"32","2020-11-13",16253.3102719418
"33","2020-11-14",16347.0449203531
"34","2020-11-15",15991.833024404
"35","2020-11-16",15918.0801281116
"36","2020-11-17",16752.0029899638
"37","2020-11-18",17593.4864149334
"38","2020-11-19",17834.6365337098
"39","2020-11-20",17954.8580090953
"40","2020-11-21",18612.870672181
"41","2020-11-22",18591.8566047532
"42","2020-11-23",18629.995537256
"43","2020-11-24",18469.2004694785
"44","2020-11-25",19045.7364656531
"45","2020-11-26",18746.9348067039
"46","2020-11-27",17187.4062763281
"47","2020-11-28",17023.9614000906
"48","2020-11-29",17814.7802784355
"49","2020-11-30",18114.4143492772
"50","2020-12-01",19382.3605858664
"51","2020-12-02",18980.9774501247
"52","2020-12-03",19184.8978477411
"53","2020-12-04",19464.5317045601
"54","2020-12-05",18813.1247602864
"55","2020-12-06",19045.0202725986
"56","2020-12-07",19113.9333950879
"57","2020-12-08",19107.5997953098
"58","2020-12-09",18682.4578332067
"59","2020-12-10",18543.0070492215
"60","2020-12-11",18359.4766003421
"61","2020-12-12",18137.3193746116
"62","2020-12-13",18882.2601710641
"63","2020-12-14",19060.2769012786
"64","2020-12-15",19251.2240047093
"65","2020-12-16",19443.4763528278
"66","2020-12-17",21310.6562622307
"67","2020-12-18",22895.9762375501
"68","2020-12-19",23008.7762567449
"69","2020-12-20",23890.8226488694
"70","2020-12-21",23537.3698908908
"71","2020-12-22",23177.2709979948
"72","2020-12-23",23433.9807581397
"73","2020-12-24",23224.4541378534
"74","2020-12-25",23623.8855332302
"75","2020-12-26",24581.0061712681
"76","2020-12-27",26381.2962329223
"77","2020-12-28",26389.2902649448
"78","2020-12-29",26718.0294634041
"79","2020-12-30",26975.7295645207
"80","2020-12-31",28768.8362075267
"81","2021-01-01",29111.5215671239
"82","2021-01-02",29333.6051206224
"83","2021-01-03",32154.1673632745
"84","2021-01-04",33002.5364270397
"85","2021-01-05",31431.6122797216
"86","2021-01-06",34433.6065138377
"87","2021-01-07",36275.7563476709
"88","2021-01-08",39713.5078567171
"89","2021-01-09",40519.4485975339
"90","2021-01-10",40258.923988658
"91","2021-01-11",38709.7653748751
"92","2021-01-12",34409.6423752223
