"","date","HF Index","Intercept","Mkt","SMB","DEF"
"1","01-03-1994",-3.57,1,-4.78,-1.02,-0.14
"2","01-04-1994",-1.74,1,0.68,-1.06,-0.1
"3","01-05-1994",2.23,1,0.58,-2.45,-0.11
"4","01-06-1994",-0.81,1,-3.03,-0.53,0.11
"5","01-07-1994",0.35,1,2.82,-1.84,-0.05
"6","01-08-1994",2.77,1,4.01,1.35,0
"7","01-09-1994",0.67,1,-2.31,2.59,0.02
"8","01-10-1994",-1.35,1,1.34,-2.27,-0.06
"9","01-11-1994",0.41,1,-4.04,-0.06,-0.1
"10","01-12-1994",-0.21,1,0.86,-0.02,-0.07
"11","01-01-1995",-1.97,1,1.8,-2.89,0.01
"12","01-02-1995",0.45,1,3.63,-0.44,0.08
"13","01-03-1995",3.48,1,2.18,-0.57,0.12
"14","01-04-1995",1.45,1,2.11,-0.27,0.04
"15","01-05-1995",1.01,1,2.9,-2.12,0.03
"16","01-06-1995",0.37,1,2.72,3.02,0.16
"17","01-07-1995",2.76,1,3.72,2.19,0.03
"18","01-08-1995",6,1,0.55,2,-0.06
"19","01-09-1995",0.38,1,3.35,-1.89,0.03
"20","01-10-1995",-0.11,1,-1.52,-4.2,-0.02
"21","01-11-1995",3.14,1,3.95,-0.98,0.04
"22","01-12-1995",3.06,1,1.03,0.56,0.03
"23","01-01-1996",6.97,1,2.26,-2.48,0.04
"24","01-02-1996",-3.59,1,1.33,1.93,0
"25","01-03-1996",1.06,1,0.73,1.5,-0.06
"26","01-04-1996",3.12,1,2.06,4.69,-0.08
"27","01-05-1996",1.93,1,2.36,3.21,-0.12
"28","01-06-1996",1.74,1,-1.14,-3.67,-0.07
"29","01-07-1996",-4.13,1,-5.97,-3.64,-0.01
"30","01-08-1996",2.48,1,2.76,2.53,0.06
"31","01-09-1996",2.5,1,5.02,-1.25,-0.02
"32","01-10-1996",3.35,1,0.86,-3.83,0.02
"33","01-11-1996",5.04,1,6.25,-3.62,0.05
"34","01-12-1996",0.31,1,-1.7,3.11,0
"35","01-01-1997",5.48,1,4.99,-1.56,-0.08
"36","01-02-1997",1.3,1,-0.49,-2.47,0.01
"37","01-03-1997",-1.41,1,-5.03,-0.51,-0.03
"38","01-04-1997",2.86,1,4.04,-5.54,-0.04
"39","01-05-1997",0.88,1,6.74,4.69,0.04
"40","01-06-1997",2.26,1,4.1,1.32,0.04
"41","01-07-1997",6.99,1,7.33,-2.71,0
"42","01-08-1997",-1.26,1,-4.15,7.65,-0.01
"43","01-09-1997",3.99,1,5.35,2.63,-0.03
