Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,7.713333,7.713333,7.003334,7.226666,1.779273,8760000
1962-02-01,7.300000,7.480000,7.093333,7.160000,1.762859,5737600
1962-03-01,7.186666,7.413333,7.070000,7.103333,1.749143,5344000
1962-04-01,7.100000,7.100000,6.000000,6.053333,1.490589,12851200
1962-05-01,6.053333,6.530000,4.733333,5.233333,1.288670,49307200
1962-06-01,5.213333,5.213333,4.000000,4.523334,1.114014,68451200
1962-07-01,4.523334,5.246666,4.513333,5.160000,1.270813,41052800
1962-08-01,5.146667,5.530000,4.940000,5.283333,1.301187,41353600
1962-09-01,5.283333,5.353333,4.646667,4.713333,1.161036,33204800
1962-10-01,4.713333,4.956666,4.293334,4.613333,1.136404,42958400
1962-11-01,4.613333,5.356667,4.560000,5.313334,1.308834,36654400
1962-12-01,5.260000,5.413333,5.086667,5.200000,1.281185,21891200
1963-01-01,5.200000,5.660000,5.123333,5.650000,1.392058,28531200
1963-02-01,5.650000,5.665000,5.320000,5.330000,1.313217,13190400
1963-03-01,5.330000,5.643333,5.296667,5.613333,1.383352,12147200
1963-04-01,5.613333,6.326667,5.566667,6.183333,1.523823,18203200
1963-05-01,6.183333,6.380000,6.100000,6.363333,1.568183,11387200
1963-06-01,6.363333,6.383333,5.760000,5.816667,1.433774,12854400
1963-07-01,5.816667,5.973333,5.670000,5.793334,1.428022,16763200
1963-08-01,5.793334,6.126667,5.733333,5.930000,1.461710,13878400
1963-09-01,5.938334,6.253334,5.938334,6.026667,1.485877,18100800
1963-10-01,6.026667,6.690000,5.980000,6.586667,1.623944,24403200
1963-11-01,6.586667,6.610000,6.146667,6.470000,1.595179,12488000
1963-12-01,6.506667,6.793334,6.313334,6.760000,1.667107,13035200
1964-01-01,6.800000,7.560000,6.766667,7.226666,1.782193,22300800
1964-02-01,7.226666,7.686666,7.120000,7.586667,1.870974,11291200
1964-03-01,7.586667,7.926667,7.413333,7.923333,1.954453,11723200
1964-04-01,7.933333,8.020000,7.603333,7.603333,1.875519,12776000
1964-05-01,7.613333,8.233334,7.613333,8.000000,1.973363,10512000
1964-06-01,8.000000,8.058333,7.683333,7.950000,1.961530,8619200
1964-07-01,7.979167,8.200000,7.666667,7.700000,1.899846,9276800
1964-08-01,7.700000,7.700000,7.091667,7.341667,1.811433,11555200
1964-09-01,7.341667,7.433333,6.866667,7.275000,1.795472,11804800
1964-10-01,7.275000,7.275000,6.916667,7.000000,1.727603,7595200
1964-11-01,6.995833,7.241667,6.875000,6.875000,1.696751,8470400
1964-12-01,6.858333,6.966667,6.783333,6.825000,1.684912,8364800
1965-01-01,6.825000,7.500000,6.733333,7.475000,1.845380,11296000
1965-02-01,7.458333,7.618750,7.083333,7.595833,1.875210,7942400
1965-03-01,7.595833,7.825000,7.466667,7.570833,1.869670,7204800
1965-04-01,7.583333,8.083333,7.583333,8.083333,1.996233,6395200
